,Sample,Study,Expression,Sample Type,Disease/Tissue,Study/Sample Type
10919,GTEX-11I78-1726-SM-5A5M3,GTEX,11.85,Normal Tissue,Stomach,GTEX: Normal Tissue
10921,GTEX-U412-0226-SM-3NMC8,GTEX,11.62,Normal Tissue,Artery,GTEX: Normal Tissue
10922,GTEX-11OF3-2626-SM-5GU7F,GTEX,13.34,Normal Tissue,Skin,GTEX: Normal Tissue
10924,GTEX-132QS-0126-SM-5IFH9,GTEX,9.295,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
10926,GTEX-13PVQ-1026-SM-5KM3M,GTEX,9.136,Normal Tissue,Breast,GTEX: Normal Tissue
10929,GTEX-WFJO-0926-SM-4LVM2,GTEX,12.15,Normal Tissue,Small Intestine,GTEX: Normal Tissue
10930,GTEX-WY7C-1626-SM-4ONC8,GTEX,10.93,Normal Tissue,Colon,GTEX: Normal Tissue
10937,GTEX-WVLH-0011-R1A-SM-4MVOK,GTEX,9.843,Normal Tissue,Brain,GTEX: Normal Tissue
10939,GTEX-XLM4-0726-SM-4AT64,GTEX,12.79,Normal Tissue,Thyroid,GTEX: Normal Tissue
10941,GTEX-SSA3-0326-SM-47JWY,GTEX,11.67,Normal Tissue,Muscle,GTEX: Normal Tissue
10942,GTEX-S4Q7-0326-SM-3K2B1,GTEX,12.86,Normal Tissue,Thyroid,GTEX: Normal Tissue
10943,GTEX-WHSB-1326-SM-3LK6W,GTEX,14.04,Normal Tissue,Skin,GTEX: Normal Tissue
10944,GTEX-139YR-0226-SM-5IFEM,GTEX,10.26,Normal Tissue,Liver,GTEX: Normal Tissue
10945,GTEX-RU72-0011-R6A-SM-2TF71,GTEX,10.31,Normal Tissue,Brain,GTEX: Normal Tissue
10946,GTEX-147JS-0726-SM-5S2UL,GTEX,12.43,Normal Tissue,Artery,GTEX: Normal Tissue
10956,GTEX-1399U-1326-SM-5IJET,GTEX,11.54,Normal Tissue,Uterus,GTEX: Normal Tissue
10957,GTEX-13OW7-3126-SM-5L3HB,GTEX,10.19,Normal Tissue,Pituitary,GTEX: Normal Tissue
10959,GTEX-11ZTS-1326-SM-5EQMA,GTEX,10.6,Normal Tissue,Adipose,GTEX: Normal Tissue
10962,GTEX-WY7C-2626-SM-3NB2P,GTEX,13.27,Normal Tissue,Nerve,GTEX: Normal Tissue
10964,GTEX-WH7G-2026-SM-3NMBL,GTEX,13.44,Normal Tissue,Skin,GTEX: Normal Tissue
10965,GTEX-QEL4-0926-SM-3GAD1,GTEX,11.8,Normal Tissue,Heart,GTEX: Normal Tissue
10967,GTEX-139TS-0126-SM-5K7XJ,GTEX,12.66,Normal Tissue,Thyroid,GTEX: Normal Tissue
10969,GTEX-13O3O-0726-SM-5J1N7,GTEX,10.96,Normal Tissue,Lung,GTEX: Normal Tissue
10971,GTEX-14A5H-0426-SM-5QGQF,GTEX,13.14,Normal Tissue,Skin,GTEX: Normal Tissue
10973,GTEX-13OVJ-0011-R11a-SM-5P9H8,GTEX,9.736,Normal Tissue,Brain,GTEX: Normal Tissue
10974,GTEX-XXEK-2226-SM-4BRUM,GTEX,13.33,Normal Tissue,Skin,GTEX: Normal Tissue
10975,GTEX-13OVI-1226-SM-5J2ME,GTEX,10.17,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
10976,GTEX-RUSQ-0526-SM-2TF72,GTEX,11.98,Normal Tissue,Heart,GTEX: Normal Tissue
10978,GTEX-12WSC-0005-SM-5MR3H,GTEX,10.01,Normal Tissue,Whole Blood,GTEX: Normal Tissue
10981,GTEX-S33H-2226-SM-5S2UF,GTEX,11.43,Normal Tissue,Muscle,GTEX: Normal Tissue
10982,GTEX-NPJ8-1226-SM-3MJHM,GTEX,11.55,Normal Tissue,Testis,GTEX: Normal Tissue
10984,GTEX-WRHK-0426-SM-4MVOG,GTEX,11.43,Normal Tissue,Esophagus,GTEX: Normal Tissue
10985,GTEX-1313W-1426-SM-5KLZU,GTEX,12.18,Normal Tissue,Heart,GTEX: Normal Tissue
10988,GTEX-X585-0011-R2B-SM-46MVF,GTEX,9.199,Normal Tissue,Brain,GTEX: Normal Tissue
10990,GTEX-ZYT6-2126-SM-5GZZ4,GTEX,11.11,Normal Tissue,Adipose,GTEX: Normal Tissue
10991,GTEX-11ZTS-1426-SM-5EQMM,GTEX,12.75,Normal Tissue,Liver,GTEX: Normal Tissue
10994,GTEX-ZAB5-1826-SM-5HL7C,GTEX,13.7,Normal Tissue,Skin,GTEX: Normal Tissue
10996,GTEX-S4Q7-1626-SM-3K2AE,GTEX,10.28,Normal Tissue,Adipose,GTEX: Normal Tissue
10999,GTEX-ZV6S-2126-SM-4YCEM,GTEX,10.02,Normal Tissue,Muscle,GTEX: Normal Tissue
11003,GTEX-13X6K-0426-SM-5O9DZ,GTEX,13.23,Normal Tissue,Nerve,GTEX: Normal Tissue
11005,GTEX-ZVZQ-1526-SM-5N9G6,GTEX,12.38,Normal Tissue,Lung,GTEX: Normal Tissue
11006,GTEX-11ZTT-2426-SM-5EQLS,GTEX,12.82,Normal Tissue,Skin,GTEX: Normal Tissue
11009,GTEX-1269C-0826-SM-5N9EM,GTEX,11.61,Normal Tissue,Heart,GTEX: Normal Tissue
11010,GTEX-X15G-0526-SM-3NMB7,GTEX,12.67,Normal Tissue,Thyroid,GTEX: Normal Tissue
11012,GTEX-RUSQ-0926-SM-47JWU,GTEX,11.43,Normal Tissue,Esophagus,GTEX: Normal Tissue
11013,GTEX-WI4N-2526-SM-4OOSE,GTEX,11.37,Normal Tissue,Ovary,GTEX: Normal Tissue
11014,GTEX-WYJK-1526-SM-4ONCW,GTEX,11.39,Normal Tissue,Small Intestine,GTEX: Normal Tissue
11016,GTEX-11ZTS-0126-SM-5EQ6M,GTEX,13.51,Normal Tissue,Skin,GTEX: Normal Tissue
11018,GTEX-ZF3C-2326-SM-5S2MZ,GTEX,11.66,Normal Tissue,Breast,GTEX: Normal Tissue
11021,GTEX-PLZ5-2026-SM-2S1O4,GTEX,13.32,Normal Tissue,Skin,GTEX: Normal Tissue
11023,GTEX-13FXS-0011-R8a-SM-5J1MN,GTEX,9.743,Normal Tissue,Brain,GTEX: Normal Tissue
11024,GTEX-12ZZW-1726-SM-5DUVD,GTEX,13.39,Normal Tissue,Esophagus,GTEX: Normal Tissue
11025,GTEX-111VG-2226-SM-5N9DU,GTEX,11.92,Normal Tissue,Colon,GTEX: Normal Tissue
11027,GTEX-ZF3C-1126-SM-57WEG,GTEX,12.68,Normal Tissue,Heart,GTEX: Normal Tissue
11029,GTEX-ZVT2-1226-SM-5GU5H,GTEX,11.3,Normal Tissue,Esophagus,GTEX: Normal Tissue
11030,GTEX-13OW7-0326-SM-5J1MP,GTEX,11.42,Normal Tissue,Muscle,GTEX: Normal Tissue
11032,GTEX-ZZPU-1426-SM-5GZZ6,GTEX,12.03,Normal Tissue,Stomach,GTEX: Normal Tissue
11034,GTEX-T6MN-2026-SM-4DM7L,GTEX,11.14,Normal Tissue,Testis,GTEX: Normal Tissue
11035,GTEX-13O3P-1326-SM-5K7Y8,GTEX,11.42,Normal Tissue,Esophagus,GTEX: Normal Tissue
11040,GTEX-ZDXO-2726-SM-4WKFA,GTEX,12.08,Normal Tissue,Artery,GTEX: Normal Tissue
11041,GTEX-13RTK-0726-SM-5Q5EN,GTEX,9.874,Normal Tissue,Adipose,GTEX: Normal Tissue
11043,GTEX-131XF-0006-SM-5P9HK,GTEX,8.843,Normal Tissue,Whole Blood,GTEX: Normal Tissue
11048,GTEX-145MH-0011-R8a-SM-5PNUL,GTEX,8.847,Normal Tissue,Brain,GTEX: Normal Tissue
11049,GTEX-11ZTS-1926-SM-5CVLA,GTEX,11.78,Normal Tissue,Ovary,GTEX: Normal Tissue
11056,GTEX-13113-1426-SM-5EGHU,GTEX,13.22,Normal Tissue,Colon,GTEX: Normal Tissue
11059,GTEX-ZPU1-1926-SM-57WDT,GTEX,12.85,Normal Tissue,Colon,GTEX: Normal Tissue
11061,GTEX-TMKS-0426-SM-3DB85,GTEX,12.24,Normal Tissue,Nerve,GTEX: Normal Tissue
11062,GTEX-SE5C-0426-SM-4BRUI,GTEX,11.32,Normal Tissue,Artery,GTEX: Normal Tissue
11064,GTEX-R55G-0326-SM-48FDM,GTEX,12.23,Normal Tissue,Pancreas,GTEX: Normal Tissue
11065,GTEX-13O21-1426-SM-5K7XI,GTEX,13.36,Normal Tissue,Skin,GTEX: Normal Tissue
11066,GTEX-WHSE-0826-SM-4SOJU,GTEX,11.07,Normal Tissue,Heart,GTEX: Normal Tissue
11068,GTEX-WEY5-1526-SM-4LMJF,GTEX,10.83,Normal Tissue,Small Intestine,GTEX: Normal Tissue
11070,GTEX-XBEW-0008-SM-4AT3Y,GTEX,11.75,Cell Line,Cells,GTEX: Cell Line
11071,GTEX-12C56-1726-SM-5EQ61,GTEX,13.73,Normal Tissue,Skin,GTEX: Normal Tissue
11073,GTEX-ZYY3-3126-SM-5SI9L,GTEX,10.84,Normal Tissue,Brain,GTEX: Normal Tissue
11074,GTEX-139UW-0326-SM-5J1ML,GTEX,12.51,Normal Tissue,Skin,GTEX: Normal Tissue
11075,GTEX-ZT9W-2726-SM-57WG8,GTEX,12.43,Normal Tissue,Artery,GTEX: Normal Tissue
11078,GTEX-WWYW-0005-SM-3NB3K,GTEX,8.253,Normal Tissue,Whole Blood,GTEX: Normal Tissue
11079,GTEX-WYJK-1126-SM-3NM9Z,GTEX,12.71,Normal Tissue,Heart,GTEX: Normal Tissue
11083,GTEX-13G51-0011-R7b-SM-5LZXG,GTEX,9.555,Normal Tissue,Brain,GTEX: Normal Tissue
11084,GTEX-XAJ8-0006-SM-46MVM,GTEX,7.781,Normal Tissue,Whole Blood,GTEX: Normal Tissue
11085,GTEX-UJMC-1826-SM-3GADT,GTEX,10.52,Normal Tissue,Muscle,GTEX: Normal Tissue
11091,GTEX-V1D1-0008-SM-4JBIJ,GTEX,10.71,Cell Line,Cells,GTEX: Cell Line
11093,GTEX-RN64-0726-SM-48FCV,GTEX,12.42,Normal Tissue,Artery,GTEX: Normal Tissue
11095,GTEX-13FTY-0011-R1a-SM-5LZXE,GTEX,9.791,Normal Tissue,Brain,GTEX: Normal Tissue
11097,GTEX-QEL4-1126-SM-4R1JJ,GTEX,12.96,Normal Tissue,Artery,GTEX: Normal Tissue
11101,GTEX-ZLV1-0126-SM-4WWBZ,GTEX,12.09,Normal Tissue,Thyroid,GTEX: Normal Tissue
11102,GTEX-13O3O-0326-SM-5K7W2,GTEX,13.04,Normal Tissue,Nerve,GTEX: Normal Tissue
11103,GTEX-XBED-0826-SM-47JYC,GTEX,11.86,Normal Tissue,Lung,GTEX: Normal Tissue
11106,GTEX-12WSF-0011-R5a-SM-5HL8K,GTEX,10.12,Normal Tissue,Brain,GTEX: Normal Tissue
11107,GTEX-POYW-0426-SM-2XCEV,GTEX,12.99,Normal Tissue,Nerve,GTEX: Normal Tissue
11109,GTEX-XMD2-0326-SM-4YCD6,GTEX,13.51,Normal Tissue,Nerve,GTEX: Normal Tissue
11111,GTEX-11XUK-1326-SM-5EQM4,GTEX,13.05,Normal Tissue,Vagina,GTEX: Normal Tissue
11113,GTEX-13FLV-0011-R5a-SM-5LZWT,GTEX,10.56,Normal Tissue,Brain,GTEX: Normal Tissue
11116,GTEX-13IVO-0626-SM-5LZYJ,GTEX,11.35,Normal Tissue,Muscle,GTEX: Normal Tissue
11118,GTEX-ZDTS-1326-SM-4WKGX,GTEX,12.15,Normal Tissue,Heart,GTEX: Normal Tissue
11123,GTEX-147F3-0226-SM-5NQBV,GTEX,10.51,Normal Tissue,Muscle,GTEX: Normal Tissue
11128,GTEX-OXRK-0126-SM-3NB1E,GTEX,9.395,Normal Tissue,Adrenal Gland,GTEX: Normal Tissue
11130,GTEX-S4UY-1226-SM-4AD51,GTEX,11.79,Normal Tissue,Uterus,GTEX: Normal Tissue
11133,GTEX-1212Z-0126-SM-59HK4,GTEX,13.72,Normal Tissue,Skin,GTEX: Normal Tissue
11134,GTEX-RVPU-2426-SM-2XCAR,GTEX,10.14,Normal Tissue,Muscle,GTEX: Normal Tissue
11135,GTEX-R55D-1426-SM-48FEN,GTEX,11.96,Normal Tissue,Pancreas,GTEX: Normal Tissue
11138,GTEX-ZF28-0726-SM-4WKFU,GTEX,11.68,Normal Tissue,Lung,GTEX: Normal Tissue
11142,GTEX-14A6H-0126-SM-5QGPK,GTEX,12.62,Normal Tissue,Skin,GTEX: Normal Tissue
11150,GTEX-12C56-1226-SM-5FQSU,GTEX,13.52,Normal Tissue,Esophagus,GTEX: Normal Tissue
11154,GTEX-Y3I4-0126-SM-4TT26,GTEX,9.263,Normal Tissue,Spleen,GTEX: Normal Tissue
11155,GTEX-117YX-1626-SM-5GZZG,GTEX,13.4,Normal Tissue,Esophagus,GTEX: Normal Tissue
11162,GTEX-SN8G-0926-SM-4DM5I,GTEX,11.61,Normal Tissue,Lung,GTEX: Normal Tissue
11163,GTEX-XMD2-0008-SM-4WWE7,GTEX,11.04,Cell Line,Cells,GTEX: Cell Line
11164,GTEX-111YS-1626-SM-5GZZ9,GTEX,11.0,Normal Tissue,Colon,GTEX: Normal Tissue
11167,GTEX-WFG8-1326-SM-4LVN3,GTEX,13.07,Normal Tissue,Stomach,GTEX: Normal Tissue
11169,GTEX-S95S-1126-SM-4B64E,GTEX,11.56,Normal Tissue,Testis,GTEX: Normal Tissue
11170,GTEX-11NV4-0526-SM-5N9BF,GTEX,12.56,Normal Tissue,Artery,GTEX: Normal Tissue
11173,GTEX-145LU-0011-R11b-SM-5P9JX,GTEX,8.406,Normal Tissue,Brain,GTEX: Normal Tissue
11174,GTEX-139TU-1226-SM-5J2NL,GTEX,14.01,Normal Tissue,Esophagus,GTEX: Normal Tissue
11176,GTEX-XGQ4-2326-SM-4AT53,GTEX,11.29,Normal Tissue,Muscle,GTEX: Normal Tissue
11177,GTEX-RWSA-0126-SM-2XCBB,GTEX,13.0,Normal Tissue,Skin,GTEX: Normal Tissue
11178,GTEX-14C39-1626-SM-5S2P4,GTEX,11.32,Normal Tissue,Colon,GTEX: Normal Tissue
11180,GTEX-12C56-1926-SM-5FQUG,GTEX,10.93,Normal Tissue,Muscle,GTEX: Normal Tissue
11186,GTEX-RM2N-0926-SM-48FD1,GTEX,13.3,Normal Tissue,Colon,GTEX: Normal Tissue
11187,GTEX-T2YK-0326-SM-4DM7D,GTEX,12.65,Normal Tissue,Nerve,GTEX: Normal Tissue
11188,GTEX-13N11-1126-SM-5KM41,GTEX,11.75,Normal Tissue,Uterus,GTEX: Normal Tissue
11189,GTEX-R53T-1126-SM-48FD4,GTEX,13.66,Normal Tissue,Esophagus,GTEX: Normal Tissue
11191,GTEX-Y5V6-1626-SM-4VDT2,GTEX,13.14,Normal Tissue,Colon,GTEX: Normal Tissue
11196,GTEX-QESD-1526-SM-2S1QT,GTEX,9.607,Normal Tissue,Adipose,GTEX: Normal Tissue
11197,GTEX-RM2N-1726-SM-2TF55,GTEX,10.15,Normal Tissue,Adipose,GTEX: Normal Tissue
11198,GTEX-139TT-0006-SM-5O9CG,GTEX,10.94,Normal Tissue,Whole Blood,GTEX: Normal Tissue
11199,GTEX-S4P3-0008-SM-3NM8R,GTEX,11.23,Cell Line,Cells,GTEX: Cell Line
11201,GTEX-ZYY3-2926-SM-5GIEB,GTEX,13.04,Normal Tissue,Skin,GTEX: Normal Tissue
11203,GTEX-OHPN-0005-SM-2YUML,GTEX,9.505,Normal Tissue,Whole Blood,GTEX: Normal Tissue
11207,GTEX-QV31-1126-SM-4R1K4,GTEX,11.15,Normal Tissue,Testis,GTEX: Normal Tissue
11209,GTEX-13OW7-2926-SM-5MR3Z,GTEX,8.831,Normal Tissue,Brain,GTEX: Normal Tissue
11210,GTEX-R55G-1626-SM-48FF4,GTEX,11.74,Normal Tissue,Uterus,GTEX: Normal Tissue
11214,GTEX-XYKS-0826-SM-4BRVF,GTEX,13.88,Normal Tissue,Thyroid,GTEX: Normal Tissue
11220,GTEX-111YS-0926-SM-5EGGI,GTEX,12.9,Normal Tissue,Esophagus,GTEX: Normal Tissue
11221,GTEX-13FHP-0826-SM-5K7V5,GTEX,12.85,Normal Tissue,Heart,GTEX: Normal Tissue
11225,GTEX-12WSK-1026-SM-5CVNR,GTEX,10.5,Normal Tissue,Adipose,GTEX: Normal Tissue
11229,GTEX-ZYVF-0626-SM-5E43Q,GTEX,10.18,Normal Tissue,Muscle,GTEX: Normal Tissue
11236,GTEX-OXRO-1926-SM-2S1O3,GTEX,12.14,Normal Tissue,Artery,GTEX: Normal Tissue
11240,GTEX-POYW-1326-SM-48TCG,GTEX,14.13,Normal Tissue,Esophagus,GTEX: Normal Tissue
11243,GTEX-Y9LG-2326-SM-4VDS1,GTEX,11.15,Normal Tissue,Artery,GTEX: Normal Tissue
11245,GTEX-11LCK-0226-SM-5A5M6,GTEX,12.12,Normal Tissue,Pancreas,GTEX: Normal Tissue
11246,GTEX-YB5E-0626-SM-4VDSE,GTEX,13.03,Normal Tissue,Thyroid,GTEX: Normal Tissue
11247,GTEX-ZDTS-0006-SM-4WAYZ,GTEX,9.579,Normal Tissue,Whole Blood,GTEX: Normal Tissue
11251,GTEX-12696-0226-SM-5EGL3,GTEX,11.1,Normal Tissue,Testis,GTEX: Normal Tissue
11252,GTEX-ZXES-0008-SM-57WCX,GTEX,11.64,Cell Line,Cells,GTEX: Cell Line
11253,GTEX-WFG8-0326-SM-4LVN4,GTEX,12.36,Normal Tissue,Pancreas,GTEX: Normal Tissue
11254,GTEX-WEY5-2226-SM-3GILQ,GTEX,13.15,Normal Tissue,Nerve,GTEX: Normal Tissue
11255,GTEX-12WSG-1426-SM-5FQUK,GTEX,11.33,Normal Tissue,Ovary,GTEX: Normal Tissue
11256,GTEX-XV7Q-2626-SM-4BRVA,GTEX,10.86,Normal Tissue,Adipose,GTEX: Normal Tissue
11257,GTEX-13OVJ-1426-SM-5K7Z2,GTEX,11.68,Normal Tissue,Esophagus,GTEX: Normal Tissue
11258,GTEX-XUJ4-0926-SM-4BOPA,GTEX,12.06,Normal Tissue,Esophagus,GTEX: Normal Tissue
11259,GTEX-ZDTS-1826-SM-5S2N6,GTEX,10.81,Normal Tissue,Adipose,GTEX: Normal Tissue
11264,GTEX-12WSD-0011-R4b-SM-5LZUA,GTEX,10.57,Normal Tissue,Brain,GTEX: Normal Tissue
11265,GTEX-12WSD-2326-SM-59HKQ,GTEX,11.76,Normal Tissue,Stomach,GTEX: Normal Tissue
11268,GTEX-XUZC-1726-SM-4BRWS,GTEX,14.36,Normal Tissue,Skin,GTEX: Normal Tissue
11279,GTEX-X261-0011-R6B-SM-4E3J8,GTEX,11.5,Normal Tissue,Brain,GTEX: Normal Tissue
11280,GTEX-14ASI-0011-R6a-SM-5S2UZ,GTEX,9.924,Normal Tissue,Brain,GTEX: Normal Tissue
11283,GTEX-X4EP-0326-SM-3P5Z6,GTEX,14.0,Normal Tissue,Heart,GTEX: Normal Tissue
11290,GTEX-13OVL-0011-R5b-SM-5L3FU,GTEX,10.39,Normal Tissue,Brain,GTEX: Normal Tissue
11295,GTEX-XQ3S-1226-SM-4BOPP,GTEX,11.63,Normal Tissue,Esophagus,GTEX: Normal Tissue
11299,GTEX-ZAB5-2426-SM-5CVMW,GTEX,11.12,Normal Tissue,Testis,GTEX: Normal Tissue
11300,GTEX-12WSK-1926-SM-5LZVK,GTEX,11.01,Normal Tissue,Ovary,GTEX: Normal Tissue
11301,GTEX-SNMC-0526-SM-4DM69,GTEX,13.38,Normal Tissue,Esophagus,GTEX: Normal Tissue
11304,GTEX-13FHP-3126-SM-5KLYX,GTEX,11.97,Normal Tissue,Pituitary,GTEX: Normal Tissue
11306,GTEX-R55F-1726-SM-2TF4R,GTEX,12.69,Normal Tissue,Breast,GTEX: Normal Tissue
11309,GTEX-QXCU-1926-SM-48FE4,GTEX,11.48,Normal Tissue,Stomach,GTEX: Normal Tissue
11312,GTEX-14BIN-0011-R9a-SM-5SI76,GTEX,9.513,Normal Tissue,Brain,GTEX: Normal Tissue
11314,GTEX-1313W-0011-R7b-SM-5DUWL,GTEX,8.807,Normal Tissue,Brain,GTEX: Normal Tissue
11316,GTEX-T5JC-1826-SM-4DM6E,GTEX,11.53,Normal Tissue,Esophagus,GTEX: Normal Tissue
11317,GTEX-YF7O-0826-SM-4W21F,GTEX,11.52,Normal Tissue,Esophagus,GTEX: Normal Tissue
11318,GTEX-1399U-2526-SM-5L3DL,GTEX,10.45,Normal Tissue,Muscle,GTEX: Normal Tissue
11319,GTEX-ZGAY-2126-SM-4YCFB,GTEX,12.58,Normal Tissue,Colon,GTEX: Normal Tissue
11326,GTEX-QVJO-1826-SM-447C9,GTEX,11.42,Normal Tissue,Breast,GTEX: Normal Tissue
11329,GTEX-12ZZX-0426-SM-5DUVT,GTEX,12.91,Normal Tissue,Nerve,GTEX: Normal Tissue
11331,GTEX-OHPL-0626-SM-3MJGJ,GTEX,13.37,Normal Tissue,Esophagus,GTEX: Normal Tissue
11337,GTEX-YF7O-1526-SM-5IFI6,GTEX,13.19,Normal Tissue,Skin,GTEX: Normal Tissue
11342,GTEX-U8T8-0426-SM-3DB8X,GTEX,13.16,Normal Tissue,Nerve,GTEX: Normal Tissue
11344,GTEX-PX3G-0526-SM-2I3EM,GTEX,12.35,Normal Tissue,Lung,GTEX: Normal Tissue
11345,GTEX-13YAN-1526-SM-5LU3E,GTEX,12.68,Normal Tissue,Artery,GTEX: Normal Tissue
11347,GTEX-ZAB4-1526-SM-5CVN7,GTEX,12.08,Normal Tissue,Stomach,GTEX: Normal Tissue
11350,GTEX-11WQC-2326-SM-5EQKE,GTEX,11.29,Normal Tissue,Testis,GTEX: Normal Tissue
11356,GTEX-WHSB-0326-SM-5FQSD,GTEX,12.46,Normal Tissue,Lung,GTEX: Normal Tissue
11357,GTEX-XUZC-1126-SM-4BOPZ,GTEX,10.51,Normal Tissue,Adipose,GTEX: Normal Tissue
11358,GTEX-12ZZZ-0011-R4b-SM-5DUV7,GTEX,9.682,Normal Tissue,Brain,GTEX: Normal Tissue
11359,GTEX-ZAB5-0426-SM-5CVMI,GTEX,10.84,Normal Tissue,Liver,GTEX: Normal Tissue
11360,GTEX-R55F-1326-SM-2TF5F,GTEX,9.926,Normal Tissue,Brain,GTEX: Normal Tissue
11361,GTEX-ZP4G-0008-SM-4E3I4,GTEX,11.38,Cell Line,Cells,GTEX: Cell Line
11362,GTEX-13RTK-0426-SM-5RQHT,GTEX,11.24,Normal Tissue,Esophagus,GTEX: Normal Tissue
11363,GTEX-T5JW-0326-SM-4DM6J,GTEX,11.53,Normal Tissue,Fallopian Tube,GTEX: Normal Tissue
11365,GTEX-12WSH-0005-SM-5NQ9P,GTEX,9.84,Normal Tissue,Whole Blood,GTEX: Normal Tissue
11370,GTEX-1477Z-0011-R3b-SM-5PNX9,GTEX,11.07,Normal Tissue,Brain,GTEX: Normal Tissue
11372,GTEX-12ZZX-1026-SM-5LZUW,GTEX,13.44,Normal Tissue,Artery,GTEX: Normal Tissue
11373,GTEX-13X6I-0011-R8a-SM-5PNZF,GTEX,9.214,Normal Tissue,Brain,GTEX: Normal Tissue
11374,GTEX-ZYFG-0326-SM-5E45Z,GTEX,12.22,Normal Tissue,Artery,GTEX: Normal Tissue
11376,GTEX-12WSM-1326-SM-5GCP9,GTEX,10.86,Normal Tissue,Testis,GTEX: Normal Tissue
11384,GTEX-OIZG-0726-SM-33HBL,GTEX,13.75,Normal Tissue,Skin,GTEX: Normal Tissue
11391,GTEX-QCQG-0726-SM-48U1Z,GTEX,11.83,Normal Tissue,Esophagus,GTEX: Normal Tissue
11392,GTEX-11LCK-0326-SM-5A5M7,GTEX,10.29,Normal Tissue,Adipose,GTEX: Normal Tissue
11395,GTEX-11ZVC-0526-SM-5N9G1,GTEX,11.72,Normal Tissue,Heart,GTEX: Normal Tissue
11396,GTEX-XYKS-0526-SM-4BRW2,GTEX,12.18,Normal Tissue,Lung,GTEX: Normal Tissue
11397,GTEX-ZF3C-1626-SM-4WWB4,GTEX,13.91,Normal Tissue,Esophagus,GTEX: Normal Tissue
11398,GTEX-WH7G-0726-SM-5EQ6C,GTEX,12.19,Normal Tissue,Lung,GTEX: Normal Tissue
11401,GTEX-YEC3-0726-SM-4YCD1,GTEX,12.23,Normal Tissue,Heart,GTEX: Normal Tissue
11402,GTEX-13X6K-0011-R8b-SM-5PNZ4,GTEX,10.23,Normal Tissue,Brain,GTEX: Normal Tissue
11403,GTEX-131XE-0326-SM-5LZVO,GTEX,9.688,Normal Tissue,Liver,GTEX: Normal Tissue
11406,GTEX-NL4W-0011-R8a-SM-2I3G4,GTEX,9.28,Normal Tissue,Brain,GTEX: Normal Tissue
11408,GTEX-ZEX8-0526-SM-4WKH5,GTEX,11.89,Normal Tissue,Lung,GTEX: Normal Tissue
11409,GTEX-WK11-0926-SM-3NMAU,GTEX,12.88,Normal Tissue,Thyroid,GTEX: Normal Tissue
11412,GTEX-X15G-0726-SM-4PQZ5,GTEX,11.98,Normal Tissue,Pancreas,GTEX: Normal Tissue
11413,GTEX-146FH-2626-SM-5Q5E1,GTEX,12.21,Normal Tissue,Vagina,GTEX: Normal Tissue
11415,GTEX-13113-1026-SM-5LZWM,GTEX,11.63,Normal Tissue,Esophagus,GTEX: Normal Tissue
11418,GTEX-14E6C-1026-SM-5SI6P,GTEX,12.96,Normal Tissue,Nerve,GTEX: Normal Tissue
11419,GTEX-ZDTS-0526-SM-4WKH9,GTEX,11.18,Normal Tissue,Muscle,GTEX: Normal Tissue
11421,GTEX-V955-1026-SM-4JBHO,GTEX,11.78,Normal Tissue,Esophagus,GTEX: Normal Tissue
11423,GTEX-OIZH-1826-SM-2YUNP,GTEX,12.46,Normal Tissue,Artery,GTEX: Normal Tissue
11424,GTEX-144GN-0826-SM-5LU5G,GTEX,12.01,Normal Tissue,Pancreas,GTEX: Normal Tissue
11427,GTEX-12ZZX-2826-SM-5BC6K,GTEX,8.936,Normal Tissue,Brain,GTEX: Normal Tissue
11428,GTEX-R55G-2126-SM-2TC67,GTEX,12.55,Normal Tissue,Nerve,GTEX: Normal Tissue
11434,GTEX-1497J-0726-SM-5Q5D1,GTEX,11.33,Normal Tissue,Liver,GTEX: Normal Tissue
11435,GTEX-14DAQ-0126-SM-5S2MQ,GTEX,13.14,Normal Tissue,Skin,GTEX: Normal Tissue
11444,GTEX-13S7M-0326-SM-5S2PH,GTEX,11.08,Normal Tissue,Muscle,GTEX: Normal Tissue
11445,GTEX-14AS3-0426-SM-5QGQK,GTEX,10.6,Normal Tissue,Adipose,GTEX: Normal Tissue
11446,GTEX-ZUA1-0226-SM-5NQ9Q,GTEX,10.51,Normal Tissue,Adipose,GTEX: Normal Tissue
11450,GTEX-1128S-0326-SM-5GZZF,GTEX,12.79,Normal Tissue,Artery,GTEX: Normal Tissue
11451,GTEX-1192W-2326-SM-5N9BS,GTEX,11.1,Normal Tissue,Testis,GTEX: Normal Tissue
11454,GTEX-PWN1-2026-SM-48TD9,GTEX,11.74,Normal Tissue,Uterus,GTEX: Normal Tissue
11457,GTEX-13S86-0626-SM-5Q5E7,GTEX,12.01,Normal Tissue,Lung,GTEX: Normal Tissue
11458,GTEX-ZDTT-0226-SM-4WKHM,GTEX,12.38,Normal Tissue,Artery,GTEX: Normal Tissue
11460,GTEX-UPJH-0826-SM-4WKFD,GTEX,11.63,Normal Tissue,Lung,GTEX: Normal Tissue
11461,GTEX-11WQC-2826-SM-5GU7A,GTEX,13.18,Normal Tissue,Nerve,GTEX: Normal Tissue
11469,GTEX-Y3IK-2726-SM-4WWDV,GTEX,13.36,Normal Tissue,Nerve,GTEX: Normal Tissue
